Id,Label,Name,Gruppe,Semester
veva,veva,Verification & Validation with Lab,Fachergänzung: Maschinenbau,5
vmo,vmo,Verbrennungsmotoren,Fachergänzung: Maschinenbau,6
waem,waem,Workshop Adv. Experimental Methods,Fachergänzung: Maschinenbau,5
aem,aem,Advanced Experimental Methods,Fachvertiefung: Maschinenbau,5
am,am,Additive Manufacturing,Fachvertiefung: Maschinenbau,5
amat,amat,Advanced Materials,Fachvertiefung: Maschinenbau,6
apd,apd,Advanced Product Design,Fachvertiefung: Maschinenbau,5
c1d,c1d,Composite I - Design & Structural Me,Fachvertiefung: Maschinenbau,5
c1m,c1m,Composite I - Manufacturing Technol,Fachvertiefung: Maschinenbau,5
dpev1,dpev1,Dig. Produktentw. & Verarbeitung 1,Fachvertiefung: Maschinenbau,5
dpev2,dpev2,Dig. Produktentw. & Verarbeitung 2,Fachvertiefung: Maschinenbau,6
flm3,flm3,Fluidmechanik mit Labor 3,Fachvertiefung: Maschinenbau,5
flm4,flm4,Fluidmechanik mit Labor 4,Fachvertiefung: Maschinenbau,6
kt1,kt1,Kunststofftechnik 1,Fachvertiefung: Maschinenbau,5
kt2,kt2,Kunststofftechnik 2,Fachvertiefung: Maschinenbau,6
mant1,mant1,Manufacturing Technology 1,Fachvertiefung: Maschinenbau,5
mant2,mant2,Manufacturing Technology 2,Fachvertiefung: Maschinenbau,6
mea,mea,Mechatronics with Lab,Fachvertiefung: Maschinenbau,5
thd3,thd3,Thermodynamik mit Labor 3,Fachvertiefung: Maschinenbau,5
thd4,thd4,Thermodynamik mit Labor 4,Fachvertiefung: Maschinenbau,6
wueb,wueb,Wärmeübertragung,Fachvertiefung: Maschinenbau,5
ch1,ch1,Chemie 1,"Grundlagen:
Naturwissenschaften",1
elmag,elmag,Elektromagnetismus,"Grundlagen:
Naturwissenschaften",3
mechM,mechM,Grundkonzepte der Mechanik,"Grundlagen:
Naturwissenschaften",1
sww,sww,Schwingungen und Wellen,"Grundlagen:
Naturwissenschaften",4
wch,wch,Workshop Chemie,"Grundlagen:
Naturwissenschaften",2
wus,wus,Wärme und Strahlung,"Grundlagen:
Naturwissenschaften",2
atL,atL,Antriebstechnik mit Labor,"Grundlagen: Elektrische
Energietechnik",4
eltM,eltM,Elektrotechnik (M),"Grundlagen: Elektrische
Energietechnik",3
rtL,rtL,Regelungstechnik mit Labor,"Grundlagen: Elektrische
Energietechnik",5
chkL,chkL,Labor Chemie/Konstruktion,Grundlagen: Labor,2
mst,mst,Mess- und Sensortechnik,Grundlagen: Labor,4
phwkL,phwkL,Labor Physik & Werkstoffe,Grundlagen: Labor,3
wkwkL,wkwkL,Workshop Werkstoffe Konstruktion,Grundlagen: Labor,4
dan,dan,Datenanalyse (Machine Learning),Grundlagen: Mathematik 1,5
infM,infM,Informatik (M),Grundlagen: Mathematik 1,1
lalg1,lalg1,Lineare Algebra 1,Grundlagen: Mathematik 1,1
lalg2,lalg2,Lineare Algebra 2,Grundlagen: Mathematik 1,2
wst,wst,Wahrscheinlichkeitstheorie und Statistik,Grundlagen: Mathematik 1,3;5
an1,an1,Analysis 1,Grundlagen: Mathematik 2,1
an2,an2,Analysis 2,Grundlagen: Mathematik 2,2
dglM,dglM,Differenzialgleichungen (SG M),Grundlagen: Mathematik 2,3
man,man,Mehrdimensionale Analysis,Grundlagen: Mathematik 2,4
num,num,Numerik (Computational Mathematics),Grundlagen: Mathematik 2,4
dms,dms,Dimensionierung,Grundlagen: Technische Mechanik,4
md,md,Maschinendynamik,Grundlagen: Technische Mechanik,4
egts,egts,Energietechnische Systeme,"Grundlagen: Thermo-/Fluid-
Energietechnik",4
flmM,flmM,Fluidmechanik,"Grundlagen: Thermo-/Fluid-
Energietechnik",3
thdM,thdM,Thermodynamik,"Grundlagen: Thermo-/Fluid-
Energietechnik",2
hkon,hkon,Herstellung und Konstruktion,"Grundlagen: Werkstoffe,
Fertigung, Konstruktion",1
mel,mel,Maschinenelemente,"Grundlagen: Werkstoffe,
Fertigung, Konstruktion",2
werk1,werk1,Werkstoffe 1,"Grundlagen: Werkstoffe,
Fertigung, Konstruktion",1
werk2,werk2,Werkstoffe 2,"Grundlagen: Werkstoffe,
Fertigung, Konstruktion",2
werk3,werk3,Werkstoffe 3,"Grundlagen: Werkstoffe,
Fertigung, Konstruktion",3;4
